mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
1.653556227684021,0.10042517498778014,0.029273319244384765,0.0023402968113777796,1,0.01,linear,,"(1, 1)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 1)}",0.7662337662337663,0.7662337662337663,0.7987012987012987,0.7727272727272727,0.7922077922077922,0.7792207792207793,0.7987012987012987,0.7792207792207793,0.7337662337662337,0.7922077922077922,0.777922077922078,0.01877510687636489,59,0.9206349206349206,0.9227994227994228,0.9155844155844156,0.9235209235209235,0.9213564213564214,0.9191919191919192,0.9227994227994228,0.9163059163059163,0.9206349206349206,0.9206349206349206,0.9203463203463205,0.0025242215995001332
3.3141388416290285,0.3884775596192114,0.050698471069335935,0.012859394480030373,1,0.01,linear,,"(1, 2)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 2)}",0.7987012987012987,0.7467532467532467,0.7857142857142857,0.7662337662337663,0.7987012987012987,0.7792207792207793,0.8181818181818182,0.7662337662337663,0.7467532467532467,0.7792207792207793,0.7785714285714287,0.021818568333001883,48,0.9559884559884559,0.9617604617604618,0.9567099567099567,0.9552669552669553,0.9559884559884559,0.9581529581529582,0.9574314574314574,0.9567099567099567,0.9559884559884559,0.9552669552669553,0.9569264069264068,0.0018266939251330926
4.151047086715698,0.12946402687567962,0.057088804244995114,0.004924039861671493,1,0.01,linear,,"(1, 3)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 3)}",0.7857142857142857,0.7532467532467533,0.7857142857142857,0.7532467532467533,0.7987012987012987,0.7922077922077922,0.7922077922077922,0.7662337662337663,0.7467532467532467,0.7662337662337663,0.774025974025974,0.01808881594439496,102,0.9689754689754689,0.9711399711399712,0.9711399711399712,0.9682539682539683,0.9704184704184704,0.9696969696969697,0.9718614718614719,0.9689754689754689,0.9704184704184704,0.9675324675324676,0.96984126984127,0.0013225326680969308
1.0649564743041993,0.06318865541685038,0.02119450569152832,0.002989477705037572,1,0.01,linear,1000,"(1, 1)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.7987012987012987,0.7532467532467533,0.8051948051948052,0.7662337662337663,0.8051948051948052,0.8116883116883117,0.7987012987012987,0.7857142857142857,0.7532467532467533,0.7597402597402597,0.7837662337662338,0.022125616931689376,6,0.8809523809523809,0.886002886002886,0.8795093795093795,0.8852813852813853,0.8823953823953824,0.8795093795093795,0.8852813852813853,0.8809523809523809,0.8831168831168831,0.8845598845598845,0.8827561327561328,0.0023323564033542288
1.2182865142822266,0.02618091608359625,0.026790809631347657,0.0014050740503304927,1,0.01,linear,1000,"(1, 2)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.7922077922077922,0.7532467532467533,0.8181818181818182,0.7207792207792207,0.8246753246753247,0.8051948051948052,0.8116883116883117,0.7597402597402597,0.7337662337662337,0.7532467532467533,0.7772727272727273,0.035572327077408684,68,0.8744588744588745,0.8831168831168831,0.8780663780663781,0.8766233766233766,0.8787878787878788,0.8751803751803752,0.8787878787878788,0.8744588744588745,0.8852813852813853,0.8787878787878788,0.8783549783549782,0.0033872134471300136
1.2841071367263794,0.0359815138466952,0.02939021587371826,0.0030984420398180858,1,0.01,linear,1000,"(1, 3)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 3)}",0.7792207792207793,0.7467532467532467,0.7987012987012987,0.7337662337662337,0.8181818181818182,0.8116883116883117,0.7922077922077922,0.7662337662337663,0.7402597402597403,0.7597402597402597,0.7746753246753246,0.028460528572481995,96,0.8694083694083694,0.8722943722943723,0.8701298701298701,0.8643578643578643,0.8665223665223665,0.8643578643578643,0.8650793650793651,0.8672438672438673,0.8715728715728716,0.8650793650793651,0.8676046176046176,0.002872442891398906
1.2668325424194335,0.0805696638989865,0.02428278923034668,0.004215747298166511,1,0.01,linear,2000,"(1, 1)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 1)}",0.7662337662337663,0.7597402597402597,0.8051948051948052,0.7662337662337663,0.8116883116883117,0.8051948051948052,0.8051948051948052,0.7597402597402597,0.7597402597402597,0.7922077922077922,0.7831168831168831,0.02137932160149915,12,0.9062049062049062,0.911976911976912,0.8997113997113997,0.9047619047619048,0.9083694083694084,0.8968253968253969,0.9025974025974026,0.8975468975468975,0.9025974025974026,0.9069264069264069,0.9037518037518039,0.0045995317317486985
1.5809347867965697,0.11310147429167568,0.032302260398864746,0.006419394688081661,1,0.01,linear,2000,"(1, 2)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 2)}",0.7857142857142857,0.7597402597402597,0.7792207792207793,0.7662337662337663,0.7987012987012987,0.8051948051948052,0.7987012987012987,0.7727272727272727,0.7597402597402597,0.7597402597402597,0.7785714285714285,0.016795476826464376,55,0.8953823953823954,0.9047619047619048,0.898989898989899,0.9004329004329005,0.8946608946608947,0.8953823953823954,0.898989898989899,0.8946608946608947,0.8953823953823954,0.8939393939393939,0.8972582972582973,0.003277869175065092
1.6731095790863038,0.09834403060691468,0.03508257865905762,0.004612367584827185,1,0.01,linear,2000,"(1, 3)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 3)}",0.7792207792207793,0.7402597402597403,0.7857142857142857,0.7532467532467533,0.8051948051948052,0.8181818181818182,0.7727272727272727,0.7792207792207793,0.7727272727272727,0.7532467532467533,0.775974025974026,0.022540980464558165,82,0.8852813852813853,0.8917748917748918,0.8881673881673882,0.8881673881673882,0.8809523809523809,0.8838383838383839,0.8874458874458875,0.8823953823953824,0.8910533910533911,0.8831168831168831,0.8862193362193361,0.003490900549322649
1.3997699975967408,0.03262639465518948,0.02794203758239746,0.006683035760927225,1,0.01,linear,3000,"(1, 1)","{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear', 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.7727272727272727,0.7597402597402597,0.7987012987012987,0.7857142857142857,0.7987012987012987,0.8051948051948052,0.8051948051948052,0.7597402597402597,0.7402597402597403,0.7922077922077922,0.7818181818181819,0.02137932160149914,19,0.9163059163059163,0.9184704184704184,0.9098124098124099,0.9177489177489178,0.9170274170274171,0.911976911976912,0.9163059163059163,0.9083694083694084,0.9170274170274171,0.9163059163059163,0.9149350649350648,0.0033602109732164477
